성분명,CAS번호,규제국가,규제구분,단서조항,제한사항,제한농도값_percent,최소제한농도_percent,최대제한농도_percent,예측_Kp_cm_h,Cmax_mg_L,Tmax_h,AUC_mg_h_L,총흡수량_mg,SED_mg_kg_day,적용기준치_mg_kg_day,적용기준치_종류,MoS,log_MoS,MoS_group,대시보드판정,PoD_보강상태,기준치_신뢰도,기준치_출처,기준치_출처_URL,기준치_근거요약,규제우선경고,국소독성_주의,SMILES_InChI_확보필요,PoD_추가조사우선순위,남은과제_메모,독성종말점,독성종말점_분류,독성용량,독성용량_추출값_mg_kg,독성용량_표준화메모,독성용량_MoS사용여부,독성시험종,독성노출경로,독성정보_URL,국문표준명,영문성분명,기준치_우선순위,MoS계산식
"Resorcinol; 1,3-Benzenediol",108-46-3,아르헨티나,한도,,"제품 유형 및 사용 부위: (a) 산화형 염모제의 염모 성분, (b) 속눈썹 착색용 제품(해당 시 전문가용), (c) 헤어로션 및 샴푸.: 헤어로션 및 샴푸는 최대 0.5%. 산화 조건에서 혼합한 후 모발 또는 속눈썹에 적용되는 최대 농도는 1.25%를 초과해서는 안 됩니다. 라벨 표시: 레조시놀 함유, 사용 후 모발을 충분히 헹굴 것, 눈에 들어간 경우 즉시 씻어낼 것, 속눈썹·눈썹 염색 금지 또는 전문가용 표시. 염모제는 심각한 알레르기 반응을 일으킬 수 있습니다. 사용 지침을 읽고 따르십시오. 16세 미만에게는 사용하지 마십시오. 일시적인 블랙 헤나 문신은 알레르기 위험을 증가시킬 수 있습니다. 얼굴 발진, 민감·자극·손상된 두피, 과거 염모제 또는 블랙 헤나 문신 반응이 있는 경우 모발을 염색하지 마십시오","5.0, 0.5, 5.0, 0.5",0.5,5.0,0.0004169712815374,0.0171158799412341,17.0,0.5566245188604851,0.3099212333367198,0.0025826769444726,80.0,NOAEL_외부레퍼런스,30975.61240526602,4.491019901378967,Very Safe,매우 안정,외부 PoD 적용,높음,SCCS Opinion on Resorcinol,https://health.ec.europa.eu/system/files/2022-08/sccs_o_241.pdf,SCCS considered 80 mg/kg bw/day as NOAEL in 13-week oral rat study.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,일반 화장품 MoS보다 규제/전문가 판단 우선,TDLo,TDLo,"25,750 mg/kg/103주 간헐적",25750.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,랫드,경구,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T4000000163,레조시놀,Resorcinol,1_SCCS Opinion,80 / 0.00258268 = 3.098e+04
"Resorcinol; 1,3-Benzenediol",108-46-3,대만,한도,"※ 염모, 탈색, 탈염 및 관련 모발 제품에 표시해야 하는 주의사항은 보건복지부 공고에 따라 표시해야 합니다. ※ 염모제의 한도 기준은 제품 사용설명서에 따라 혼합한 후의 최대 허용 사용량을 의미합니다. ※ 화장품의 외포장 또는 용기에는 본 표에 등재된 성분의 주의사항을 명확히 표시해야 하며, 표시가 어려운 경우 라벨·설명서 또는 기타 방법으로 표시해야 합니다. ※ 구강 제제에는 비의약 치약, 구강청결제 및 치아 미백류 화장품이 포함됩니다. ※ 효능을 표시·광고하는 경우 관련 허위·과대광고 및 의료 효능 인정 기준을 준수해야 합니다","※ 염모, 탈색, 탈염 및 관련 모발 제품에 표시해야 하는 주의사항은 보건복지부 공고에 따라 표시해야 합니다. ※ 염모제의 한도 기준은 제품 사용설명서에 따라 혼합한 후의 최대 허용 사용량을 의미합니다. ※ 화장품의 외포장 또는 용기에는 본 표에 등재된 성분의 주의사항을 명확히 표시해야 하며, 표시가 어려운 경우 라벨·설명서 또는 기타 방법으로 표시해야 합니다. ※ 구강 제제에는 비의약 치약, 구강청결제 및 치아 미백류 화장품이 포함됩니다. ※ 효능을 표시·광고하는 경우 관련 허위·과대광고 및 의료 효능 인정 기준을 준수해야 합니다. 용도: 사용. 배합한도: (a) 산화성 염모제 1.25%, (b) 헤어로션 및 샴푸 제품 0.5%. 주의사항: “레조시놀 함유”","1.25, 0.5, 1.25, 0.5",0.5,1.25,0.0004169712815374,0.0171158799412341,17.0,0.5566245188604851,0.3099212333367198,0.0025826769444726,80.0,NOAEL_외부레퍼런스,30975.61240526602,4.491019901378967,Very Safe,매우 안정,외부 PoD 적용,높음,SCCS Opinion on Resorcinol,https://health.ec.europa.eu/system/files/2022-08/sccs_o_241.pdf,SCCS considered 80 mg/kg bw/day as NOAEL in 13-week oral rat study.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,일반 화장품 MoS보다 규제/전문가 판단 우선,TDLo,TDLo,"25,750 mg/kg/103주 간헐적",25750.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,랫드,경구,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T4000000163,레조시놀,Resorcinol,1_SCCS Opinion,80 / 0.00258268 = 3.098e+04
"Resorcinol; 1,3-Benzenediol",108-46-3,아세안,한도,,"제품 유형 및 사용 부위: (a) 산화형 염모제의 염모 성분, (b) 속눈썹 착색용 제품(해당 시 전문가용), (c) 헤어로션 및 샴푸.: 헤어로션 및 샴푸는 최대 0.5%. 산화 조건에서 혼합한 후 모발 또는 속눈썹에 적용되는 최대 농도는 1.25%를 초과해서는 안 됩니다. 라벨 표시: 레조시놀 함유, 사용 후 모발을 충분히 헹굴 것, 눈에 들어간 경우 즉시 씻어낼 것, 속눈썹·눈썹 염색 금지 또는 전문가용 표시. 염모제는 심각한 알레르기 반응을 일으킬 수 있습니다. 사용 지침을 읽고 따르십시오. 16세 미만에게는 사용하지 마십시오. 일시적인 블랙 헤나 문신은 알레르기 위험을 증가시킬 수 있습니다. 얼굴 발진, 민감·자극·손상된 두피, 과거 염모제 또는 블랙 헤나 문신 반응이 있는 경우 모발을 염색하지 마십시오","0.5, 0.5, 1.25, 1.25",0.5,1.25,0.0004169712815374,0.0171158799412341,17.0,0.5566245188604851,0.3099212333367198,0.0025826769444726,80.0,NOAEL_외부레퍼런스,30975.61240526602,4.491019901378967,Very Safe,매우 안정,외부 PoD 적용,높음,SCCS Opinion on Resorcinol,https://health.ec.europa.eu/system/files/2022-08/sccs_o_241.pdf,SCCS considered 80 mg/kg bw/day as NOAEL in 13-week oral rat study.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,일반 화장품 MoS보다 규제/전문가 판단 우선,TDLo,TDLo,"25,750 mg/kg/103주 간헐적",25750.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,랫드,경구,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T4000000163,레조시놀,Resorcinol,1_SCCS Opinion,80 / 0.00258268 = 3.098e+04
"Resorcinol; 1,3-Benzenediol",108-46-3,EU,한도,,"제품 유형 및 사용 부위: (a) 산화형 염모제의 염모 성분, (b) 속눈썹 착색용 제품(해당 시 전문가용), (c) 헤어로션 및 샴푸.: 헤어로션 및 샴푸는 최대 0.5%. 산화 조건에서 혼합한 후 모발 또는 속눈썹에 적용되는 최대 농도는 1.25%를 초과해서는 안 됩니다. 라벨 표시: 레조시놀 함유, 사용 후 모발을 충분히 헹굴 것, 눈에 들어간 경우 즉시 씻어낼 것, 속눈썹·눈썹 염색 금지 또는 전문가용 표시. 염모제는 심각한 알레르기 반응을 일으킬 수 있습니다. 사용 지침을 읽고 따르십시오. 16세 미만에게는 사용하지 마십시오. 일시적인 블랙 헤나 문신은 알레르기 위험을 증가시킬 수 있습니다. 얼굴 발진, 민감·자극·손상된 두피, 과거 염모제 또는 블랙 헤나 문신 반응이 있는 경우 모발을 염색하지 마십시오","0.5, 0.5, 1.25, 1.25",0.5,1.25,0.0004169712815374,0.0171158799412341,17.0,0.5566245188604851,0.3099212333367198,0.0025826769444726,80.0,NOAEL_외부레퍼런스,30975.61240526602,4.491019901378967,Very Safe,매우 안정,외부 PoD 적용,높음,SCCS Opinion on Resorcinol,https://health.ec.europa.eu/system/files/2022-08/sccs_o_241.pdf,SCCS considered 80 mg/kg bw/day as NOAEL in 13-week oral rat study.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,일반 화장품 MoS보다 규제/전문가 판단 우선,TDLo,TDLo,"25,750 mg/kg/103주 간헐적",25750.0,단회 또는 기간 불명,MoS 기준치로 직접 사용하지 않음,랫드,경구,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T4000000163,레조시놀,Resorcinol,1_SCCS Opinion,80 / 0.00258268 = 3.098e+04
Toluene,108-88-3,브라질,한도,,적용 및 사용 범위: 네일 제품. 완제품 내 최대 허용 농도: 25%. 기타 제한 및 경고: 어린이의 손이 닿지 않는 곳에 보관할 것. 성인 전용,"25.0, 25.0",25.0,25.0,0.1479033911482041,1.031070910295041,5.0,16.825492099955824,8.13761815481234,0.0678134846234361,223.0,NOAEL_외부레퍼런스,3288.431515329209,3.516988801699509,Very Safe,매우 안정,외부 PoD 적용,높음,US EPA IRIS Toluene,https://iris.epa.gov/static/pdfs/0118_summary.pdf,EPA IRIS RfD derivation에서 principal study의 NOAEL 223 mg/kg-day를 제시. CIR/OECD의 625보다 보수적인 값을 적용.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,TDLo,TDLo,"1,500 ppm/6시간/14일(간헐적)",,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,다양함,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1000000426,톨루엔,Toluene,2_EPA/ECHA류,223 / 0.0678135 = 3288
Toluene,108-88-3,아르헨티나,한도,,적용 및 사용 범위: 네일 제품. 완제품 내 최대 허용 농도: 25%. 기타 제한 및 경고: 어린이의 손이 닿지 않는 곳에 보관할 것. 성인 전용,"25.0, 25.0",25.0,25.0,0.1479033911482041,1.031070910295041,5.0,16.825492099955824,8.13761815481234,0.0678134846234361,223.0,NOAEL_외부레퍼런스,3288.431515329209,3.516988801699509,Very Safe,매우 안정,외부 PoD 적용,높음,US EPA IRIS Toluene,https://iris.epa.gov/static/pdfs/0118_summary.pdf,EPA IRIS RfD derivation에서 principal study의 NOAEL 223 mg/kg-day를 제시. CIR/OECD의 625보다 보수적인 값을 적용.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,TDLo,TDLo,"1,500 ppm/6시간/14일(간헐적)",,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,다양함,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1000000426,톨루엔,Toluene,2_EPA/ECHA류,223 / 0.0678135 = 3288
Toluene,108-88-3,한국,한도,,배합한도: 손발톱용 제품류는 25%까지 허용. 기타 제품에는 사용 금지,25.0,25.0,25.0,0.1479033911482041,1.031070910295041,5.0,16.825492099955824,8.13761815481234,0.0678134846234361,223.0,NOAEL_외부레퍼런스,3288.431515329209,3.516988801699509,Very Safe,매우 안정,외부 PoD 적용,높음,US EPA IRIS Toluene,https://iris.epa.gov/static/pdfs/0118_summary.pdf,EPA IRIS RfD derivation에서 principal study의 NOAEL 223 mg/kg-day를 제시. CIR/OECD의 625보다 보수적인 값을 적용.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,TDLo,TDLo,"1,500 ppm/6시간/14일(간헐적)",,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,다양함,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1000000426,톨루엔,Toluene,2_EPA/ECHA류,223 / 0.0678135 = 3288
Toluene,108-88-3,아세안,한도,,적용 및 사용 범위: 네일 제품. 완제품 내 최대 허용 농도: 25%. 기타 제한 및 경고: 어린이의 손이 닿지 않는 곳에 보관할 것. 성인 전용,"25.0, 25.0",25.0,25.0,0.1479033911482041,1.031070910295041,5.0,16.825492099955824,8.13761815481234,0.0678134846234361,223.0,NOAEL_외부레퍼런스,3288.431515329209,3.516988801699509,Very Safe,매우 안정,외부 PoD 적용,높음,US EPA IRIS Toluene,https://iris.epa.gov/static/pdfs/0118_summary.pdf,EPA IRIS RfD derivation에서 principal study의 NOAEL 223 mg/kg-day를 제시. CIR/OECD의 625보다 보수적인 값을 적용.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,TDLo,TDLo,"1,500 ppm/6시간/14일(간헐적)",,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,다양함,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1000000426,톨루엔,Toluene,2_EPA/ECHA류,223 / 0.0678135 = 3288
Toluene,108-88-3,EU,한도,,적용 및 사용 범위: 네일 제품. 완제품 내 최대 허용 농도: 25%. 기타 제한 및 경고: 어린이의 손이 닿지 않는 곳에 보관할 것. 성인 전용,"25.0, 25.0",25.0,25.0,0.1479033911482041,1.031070910295041,5.0,16.825492099955824,8.13761815481234,0.0678134846234361,223.0,NOAEL_외부레퍼런스,3288.431515329209,3.516988801699509,Very Safe,매우 안정,외부 PoD 적용,높음,US EPA IRIS Toluene,https://iris.epa.gov/static/pdfs/0118_summary.pdf,EPA IRIS RfD derivation에서 principal study의 NOAEL 223 mg/kg-day를 제시. CIR/OECD의 625보다 보수적인 값을 적용.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,TDLo,TDLo,"1,500 ppm/6시간/14일(간헐적)",,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,다양함,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1000000426,톨루엔,Toluene,2_EPA/ECHA류,223 / 0.0678135 = 3288
Toluene,108-88-3,대만,한도,"※ 염모, 탈색, 탈염 및 관련 모발 제품에 표시해야 하는 주의사항은 보건복지부 공고에 따라 표시해야 합니다. ※ 염모제의 한도 기준은 제품 사용설명서에 따라 혼합한 후의 최대 허용 사용량을 의미합니다. ※ 화장품의 외포장 또는 용기에는 본 표에 등재된 성분의 주의사항을 명확히 표시해야 하며, 표시가 어려운 경우 라벨·설명서 또는 기타 방법으로 표시해야 합니다. ※ 구강 제제에는 비의약 치약, 구강청결제 및 치아 미백류 화장품이 포함됩니다. ※ 효능을 표시·광고하는 경우 관련 허위·과대광고 및 의료 효능 인정 기준을 준수해야 합니다","※ 염모, 탈색, 탈염 및 관련 모발 제품에 표시해야 하는 주의사항은 보건복지부 공고에 따라 표시해야 합니다. ※ 염모제의 한도 기준은 제품 사용설명서에 따라 혼합한 후의 최대 허용 사용량을 의미합니다. ※ 화장품의 외포장 또는 용기에는 본 표에 등재된 성분의 주의사항을 명확히 표시해야 하며, 표시가 어려운 경우 라벨·설명서 또는 기타 방법으로 표시해야 합니다. ※ 구강 제제에는 비의약 치약, 구강청결제 및 치아 미백류 화장품이 포함됩니다. ※ 효능을 표시·광고하는 경우 관련 허위·과대광고 및 의료 효능 인정 기준을 준수해야 합니다. 용도: 사용. 배합한도: 네일 제품 25%. 주의사항: 어린이의 접촉을 피할 것","25.0, 25.0",25.0,25.0,0.1479033911482041,1.031070910295041,5.0,16.825492099955824,8.13761815481234,0.0678134846234361,223.0,NOAEL_외부레퍼런스,3288.431515329209,3.516988801699509,Very Safe,매우 안정,외부 PoD 적용,높음,US EPA IRIS Toluene,https://iris.epa.gov/static/pdfs/0118_summary.pdf,EPA IRIS RfD derivation에서 principal study의 NOAEL 223 mg/kg-day를 제시. CIR/OECD의 625보다 보수적인 값을 적용.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,TDLo,TDLo,"1,500 ppm/6시간/14일(간헐적)",,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,다양함,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1000000426,톨루엔,Toluene,2_EPA/ECHA류,223 / 0.0678135 = 3288
Triamcinolone,124-94-7,EU,금지,,,,,,8.487213931278293e-06,0.0035310432188416,17.5,0.1157280039808682,0.0646226945946335,0.0005385224549552,0.0023,TTC_Cramer III,4.270945396680513,0.6305240190803161,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값; 일반 화장품 MoS보다 규제/전문가 판단 우선,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,트라이엠시놀론,Triamcinolone,TTC_fallback,0.0023 / 0.000538522 = 4.271
Triamcinolone,124-94-7,아세안,금지,,,,,,8.487213931278293e-06,0.0035310432188416,17.5,0.1157280039808682,0.0646226945946335,0.0005385224549552,0.0023,TTC_Cramer III,4.270945396680513,0.6305240190803161,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값; 일반 화장품 MoS보다 규제/전문가 판단 우선,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,트라이엠시놀론,Triamcinolone,TTC_fallback,0.0023 / 0.000538522 = 4.271
Triamcinolone,124-94-7,중국,금지,,,,,,8.487213931278293e-06,0.0035310432188416,17.5,0.1157280039808682,0.0646226945946335,0.0005385224549552,0.0023,TTC_Cramer III,4.270945396680513,0.6305240190803161,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값; 일반 화장품 MoS보다 규제/전문가 판단 우선,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,트라이엠시놀론,Triamcinolone,TTC_fallback,0.0023 / 0.000538522 = 4.271
Triamcinolone,124-94-7,캐나다,금지,,,,,,8.487213931278293e-06,0.0035310432188416,17.5,0.1157280039808682,0.0646226945946335,0.0005385224549552,0.0023,TTC_Cramer III,4.270945396680513,0.6305240190803161,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값; 일반 화장품 MoS보다 규제/전문가 판단 우선,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,트라이엠시놀론,Triamcinolone,TTC_fallback,0.0023 / 0.000538522 = 4.271
Triamcinolone,124-94-7,한국,금지,,,,,,8.487213931278293e-06,0.0035310432188416,17.5,0.1157280039808682,0.0646226945946335,0.0005385224549552,0.0023,TTC_Cramer III,4.270945396680513,0.6305240190803161,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값; 일반 화장품 MoS보다 규제/전문가 판단 우선,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,트라이엠시놀론,Triamcinolone,TTC_fallback,0.0023 / 0.000538522 = 4.271
Triamcinolone,124-94-7,브라질,금지,,,,,,8.487213931278293e-06,0.0035310432188416,17.5,0.1157280039808682,0.0646226945946335,0.0005385224549552,0.0023,TTC_Cramer III,4.270945396680513,0.6305240190803161,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값; 일반 화장품 MoS보다 규제/전문가 판단 우선,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,트라이엠시놀론,Triamcinolone,TTC_fallback,0.0023 / 0.000538522 = 4.271
Triamcinolone,124-94-7,아르헨티나,금지,,,,,,8.487213931278293e-06,0.0035310432188416,17.5,0.1157280039808682,0.0646226945946335,0.0005385224549552,0.0023,TTC_Cramer III,4.270945396680513,0.6305240190803161,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값; 일반 화장품 MoS보다 규제/전문가 판단 우선,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,트라이엠시놀론,Triamcinolone,TTC_fallback,0.0023 / 0.000538522 = 4.271
"2,4,6-Trichlorophenol",88-06-2,아르헨티나,금지,,,,,,0.0471941289249773,0.710507000182429,9.0,13.894743468260234,7.058111566425301,0.0588175963868775,3.0,NOAEL_외부레퍼런스,51.0051444514539,1.7076139818666112,Borderline,주의,외부 PoD 적용(v3),높음,EPA PPRTV / WHO Chlorophenols review,https://hhpprtv.ornl.gov/issue_papers/Trichlorophenol246.pdf,EPA PPRTV derives provisional RfD using rat reproductive study NOAEL 3.0 mg/kg-day and LOAEL 30 mg/kg-day. 염소화 페놀. 발암성/국소효과는 별도 검토 필요.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,피부자극/감작성/국소독성 별도 표시 권장,필요: 구조 기반 Cramer/alert 검증용,낮음,MoS 외 감작성·자극성 확인 필요,LD50,LD50,2.8 g/kg,2800.0,단회 또는 기간 불명,파일 내 LD50/TDLo 등은 직접 사용하지 않음; 외부 반복독성 PoD 적용,랫드,경구,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T5700000029,"2,4,6-트라이클로로페놀","2,4,6-Trichlorophenol",2_EPA/WHO_외부PoD,3 / 0.0588176 = 51.01
"2,4,6-Trichlorophenol",88-06-2,아세안,금지,,,,,,0.0471941289249773,0.710507000182429,9.0,13.894743468260234,7.058111566425301,0.0588175963868775,3.0,NOAEL_외부레퍼런스,51.0051444514539,1.7076139818666112,Borderline,주의,외부 PoD 적용(v3),높음,EPA PPRTV / WHO Chlorophenols review,https://hhpprtv.ornl.gov/issue_papers/Trichlorophenol246.pdf,EPA PPRTV derives provisional RfD using rat reproductive study NOAEL 3.0 mg/kg-day and LOAEL 30 mg/kg-day. 염소화 페놀. 발암성/국소효과는 별도 검토 필요.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,피부자극/감작성/국소독성 별도 표시 권장,필요: 구조 기반 Cramer/alert 검증용,낮음,MoS 외 감작성·자극성 확인 필요,LD50,LD50,2.8 g/kg,2800.0,단회 또는 기간 불명,파일 내 LD50/TDLo 등은 직접 사용하지 않음; 외부 반복독성 PoD 적용,랫드,경구,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T5700000029,"2,4,6-트라이클로로페놀","2,4,6-Trichlorophenol",2_EPA/WHO_외부PoD,3 / 0.0588176 = 51.01
"2,4,6-Trichlorophenol",88-06-2,중국,금지,,,,,,0.0471941289249773,0.710507000182429,9.0,13.894743468260234,7.058111566425301,0.0588175963868775,3.0,NOAEL_외부레퍼런스,51.0051444514539,1.7076139818666112,Borderline,주의,외부 PoD 적용(v3),높음,EPA PPRTV / WHO Chlorophenols review,https://hhpprtv.ornl.gov/issue_papers/Trichlorophenol246.pdf,EPA PPRTV derives provisional RfD using rat reproductive study NOAEL 3.0 mg/kg-day and LOAEL 30 mg/kg-day. 염소화 페놀. 발암성/국소효과는 별도 검토 필요.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,피부자극/감작성/국소독성 별도 표시 권장,필요: 구조 기반 Cramer/alert 검증용,낮음,MoS 외 감작성·자극성 확인 필요,LD50,LD50,2.8 g/kg,2800.0,단회 또는 기간 불명,파일 내 LD50/TDLo 등은 직접 사용하지 않음; 외부 반복독성 PoD 적용,랫드,경구,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T5700000029,"2,4,6-트라이클로로페놀","2,4,6-Trichlorophenol",2_EPA/WHO_외부PoD,3 / 0.0588176 = 51.01
